"ToiletID","URL","Name","Address1","Town","State","Postcode","AddressNote","Male","Female","Unisex","FacilityType","ToiletType","AccessLimited","PaymentRequired","KeyRequired","AccessNote","Parking","ParkingNote","AccessibleMale","AccessibleFemale","AccessibleUnisex","AccessibleNote","MLAK","ParkingAccessible","AccessibleParkingNote","IsOpen","OpeningHoursSchedule","OpeningHoursNote","BabyChange","Showers","DrinkingWater","SharpsDisposal","SanitaryDisposal","IconURL","IconAltText","Notes","Status","Latitude","Longitude"
"24","https://toiletmap.gov.au/toilet/24","Lime Street, Centenary Park","Lime Street","Clermont","Queensland","4721","","True","True","False","Park or reserve","Sewerage","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.81837370","147.64170020"
"25","https://toiletmap.gov.au/toilet/25","Capella Street","Capella Street","Clermont","Queensland","4721","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-22.82389777","147.64100690"
"26","https://toiletmap.gov.au/toilet/26","East Palmerston","Palmerston Highway","East Palmerston","Queensland","4860","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.60413393","145.84815930"
"27","https://toiletmap.gov.au/toilet/27","Sam Brischetto Park","Bon Villa Avenue","Hudson","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.52168719","145.98896610"
"28","https://toiletmap.gov.au/toilet/28","Fred Drew Park","Palmerston Drive","Hudson","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.51502477","145.99378730"
"29","https://toiletmap.gov.au/toilet/29","Anzac Park","Edith Street","Innisfail","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.52406506","146.02788570"
"30","https://toiletmap.gov.au/toilet/30","Jack Fossey Park","Benwell Street","East Innisfail","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.52904205","146.03236700"
"31","https://toiletmap.gov.au/toilet/31","Fitzgerald Park","Esplanade","Innisfail","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.51981571","146.03102430"
"33","https://toiletmap.gov.au/toilet/33","Warrina Lakes","Emily Street","Innisfail","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","Variable","10am-6pm","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.51839405","146.02463370"
"34","https://toiletmap.gov.au/toilet/34","Callandar Park 2","Ernest Street","Innisfail","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.51664911","146.02693380"
"35","https://toiletmap.gov.au/toilet/35","Coconuts","Esplanade","Coconuts","Queensland","4860","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.50743895","146.06440490"
"36","https://toiletmap.gov.au/toilet/36","Flying Fish Point 2","Esplanade","Flying Fish Point","Queensland","4860","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.50206605","146.07629830"
"37","https://toiletmap.gov.au/toilet/37","Corso","The Corso","Innisfail","Queensland","4860","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.52523492","146.03490500"
"38","https://toiletmap.gov.au/toilet/38","Wrights Park","Sherwood Street","East Innisfail","Queensland","4860","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.52870492","146.03988200"
"39","https://toiletmap.gov.au/toilet/39","Castor Park","Castor Street","Mourilyan Harbour","Queensland","4858","","True","True","False","Park or reserve","","False","False","False","","False","","True","True","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mfa.png","Male and Female, or Unisex (Accessible)","","Verified","-17.58434935","146.04044240"
"40","https://toiletmap.gov.au/toilet/40","Wangan Sports Ground","Cheshire Street","Wangan","Queensland","4871","","True","True","False","Sporting facility","","False","False","False","","False","","False","False","False","","False","False","","Variable","8am-5pm","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.57451729","146.00856220"
"41","https://toiletmap.gov.au/toilet/41","South Johnstone","Enright Street","South Johnstone","Queensland","4859","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.59462436","145.99839230"
"42","https://toiletmap.gov.au/toilet/42","Mena Creek Road","Mena Creek Road","Germantown","Queensland","4871","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.65462056","145.95673050"
"43","https://toiletmap.gov.au/toilet/43","Japoonvale","","Japoonvale","Queensland","4856","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.72507368","145.93146170"
"44","https://toiletmap.gov.au/toilet/44","Sharpe Park","Polich Road","Germantown","Queensland","4871","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.66090163","145.96246200"
"45","https://toiletmap.gov.au/toilet/45","Centenary Park","Silkwood - Japoon Road","Silkwood","Queensland","4856","","True","True","False","Park or reserve","","False","False","False","","False","","False","False","False","","False","False","","Variable","8am-5pm","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.74117696","146.01439380"
"46","https://toiletmap.gov.au/toilet/46","Gunclub","Silkwood - Japoon Road","Silkwood","Queensland","4856","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.74778539","146.02595260"
"47","https://toiletmap.gov.au/toilet/47","Kurrimine Beach","Robert Johnstone Parade","Kurrimine Beach","Queensland","4871","","True","True","False","","","False","False","False","","False","","False","False","False","","False","False","","AllHours","","","False","False","False","False","False","https://toiletmap.gov.au/images/icons/mf.png","Male and Female, or Unisex","","Verified","-17.77664389","146.10817360"
